DATE,CPIAUCSL
1947-09-23,22.909075113696574
1947-09-24,22.908952867195882
1947-09-25,22.908828257216385
1947-09-26,22.908736445110147
1947-09-27,22.908712592229225
1947-09-28,22.908791859925685
1947-09-29,22.9090094095516
1947-09-30,22.909400402459013
1947-10-01,22.91
1947-10-02,22.910837862007405
1947-10-03,22.91192164223723
1947-10-04,22.913253492926255
1947-10-05,22.914835566311265
1947-10-06,22.916670014629048
1947-10-07,22.918758990116384
1947-10-08,22.92110464501006
1947-10-09,22.923709131546865
1947-10-10,22.92657460196357
1947-10-11,22.929703208496974
1947-10-12,22.933097103383854
1947-10-13,22.936758438861002
1947-10-14,22.940689367165188
1947-10-15,22.94489204053321
1947-10-16,22.949368611201848
1947-10-17,22.95412123140789
1947-10-18,22.959152053388113
1947-10-19,22.9644632293793
1947-10-20,22.97005691161825
1947-10-21,22.97593525234174
1947-10-22,22.982100403786543
1947-10-23,22.98855451818946
1947-10-24,22.995299747787264
1947-10-25,23.00233824481675
1947-10-26,23.009672161514704
1947-10-27,23.017303650117892
1947-10-28,23.025234862863115
1947-10-29,23.033467951987152
1947-10-30,23.04200506972679
1947-10-31,23.05084836831881
1947-11-01,23.06
1947-11-02,23.06945920593561
1947-11-03,23.079213583004766
1947-11-04,23.08924781701507
1947-11-05,23.099546593774114
1947-11-06,23.110094599089493
1947-11-07,23.1208765187688
1947-11-08,23.131877038619642
1947-11-09,23.1430808444496
1947-11-10,23.15447262206627
1947-11-11,23.16603705727726
1947-11-12,23.17775883589016
1947-11-13,23.18962264371256
1947-11-14,23.201613166552058
1947-11-15,23.213715090216258
1947-11-16,23.22591310051275
1947-11-17,23.238191883249122
1947-11-18,23.250536124232976
1947-11-19,23.262930509271914
1947-11-20,23.275359724173523
1947-11-21,23.287808454745402
1947-11-22,23.300261386795142
1947-11-23,23.312703206130344
1947-11-24,23.325118598558603
1947-11-25,23.337492249887514
1947-11-26,23.34980884592467
1947-11-27,23.362053072477668
1947-11-28,23.374209615354108
1947-11-29,23.386263160361576
1947-11-30,23.398198393307677
1947-12-01,23.41
1947-12-02,23.421654478305094
1947-12-03,23.433155574325305
1947-12-04,23.44449884622192
1947-12-05,23.455679852156237
1947-12-06,23.466694150289545
1947-12-07,23.477537298783147
1947-12-08,23.488204855798326
1947-12-09,23.498692379496376
1947-12-10,23.508995428038602
1947-12-11,23.519109559586287
1947-12-12,23.529030332300724
1947-12-13,23.538753304343214
1947-12-14,23.548274033875042
1947-12-15,23.55758807905751
1947-12-16,23.5666909980519
1947-12-17,23.57557834901952
1947-12-18,23.58424569012165
1947-12-19,23.59268857951959
1947-12-20,23.600902575374636
1947-12-21,23.608883235848076
